Season,Episode,Title,Air Date,Length,Country,Description,Link,X,Y
4,3,Lithuania,8/3/2009,24,Lithuania,"Today, there are still signs of Lithuania’s pagan past in the local drinking scene. Zane explores the many gods who influence Lithuanian mead and beer.",http://www.hulu.com/watch/86422,23.892021,55.326498
4,4,St. Martin,8/10/2009,24,St. Martin,"Zane explores the differences between French St. Martin, and Dutch St. Martin, as well as sampling the many ways in which the locals doctor rum to come up with new and interesting flavors, including one said to replace Viagra!",http://www.hulu.com/watch/86502,-63.052655,18.068811
4,5,Capetown,8/17/2009,24,South Africa,"Zane eats wild game, meets up with a local celebrity known for his drinking exploits, samples Afrikaner firewater known as “Witblits” and a lot of other drinks that make this a place with something for just about anyone.",http://www.hulu.com/watch/91186,18.580587,-33.908742
4,6,Tuscany,9/14/2009,24,Italy,"Zane explores the centuries old traditions at one of the world’s great Chianti makers. He also encounters a wine lover’s answer to a pub crawl, and goes barefoot in a grape stomping competition against the locals.",http://www.hulu.com/watch/101415,11.20482,43.34558
4,7,Hawaii,9/21/2009,24,United States,"Ever heard of beer made with cane? Porter made with Coconut? Vodka made with pineapple or ocean water? On this episode, Zane goes local finding out how local ingredients influence Hawaiian drinks in a unique way.",http://www.hulu.com/watch/93495,-156.336298,20.776566
4,8,Poland,9/28/2009,24,Poland,"Zane pulls no punches when he meets up with one of the world’s foremost vodka makers. Zane then gets down a dirty with some locals playing drinking games with hammers, saws, spikes and lumber.",http://www.hulu.com/watch/93269,19.373248,52.127499
4,9,Namibia,10/5/2009,24,Namibia,"Zane’s unpredictable adventure leads him to local African firewater, the magic of a drum circle, sand dune adventures and “buffalo milk” when he proves that he really can go Three Sheets to anywhere – even Namibia!",http://www.hulu.com/watch/93522,17.204869,-22.144359
4,10,Hamburg,10/12/2009,24,Germany,"Zane goes straight to the grounds of the Jagermeister compound. But it doesn’t stop there, Hamburg is home to some of the most innovative German cocktails, and it’s also home to some salty sailors who like beer and like to play with fire!",http://www.hulu.com/watch/101004,10.001464,53.55123
4,11,Barbados,10/19/2009,24,Barbados,"Zane goes to the birthplace of rum. He explores an island original known as Falernum, drinks “corn and oil,” and meets up with a local action sports celebrity who shows him local rum shops, and the magic of becoming “invisible.”",http://www.hulu.com/watch/101651,-59.534447,13.182314
4,12,New Castle,10/26/2009,24,England,"Zane does his share of crawling as he explores this renowned enclave of pub culture. He finds a pub said to be haunted by King George, he has a drinking face-off with a local football legend, and he downs a few with a local crime syndicate insider.",http://www.hulu.com/watch/101852,-1.617275,54.977997
4,13,"Lesbos, Greece",11/2/2009,24,Greece,"It’s the birthplace of Greece’s great spirit of Ouzo. Zane sees how it’s made, and more importantly how it’s consumed with locals – and he finds out about the mysterious science behind why water makes ouzo turn cloudy.",http://www.hulu.com/watch/101853,26.269412,39.22362
4,14,Iceland,11/9/2009,24,Iceland,"Weather he’s drinking “Black Death,” moonshine known as “Landi,” or candy inspired spirits, Zane discovers that drinking in Iceland is a one of a kind adventure that can only be made better by eating sheep testicles cured in sour milk!",http://www.hulu.com/watch/93991,-18.594206,65.003534
4,15,Tahiti,11/16/2009,24,Tahiti,"Zane discovers a remote atoll where they grow the only grapes on earth to have a “coral terroir.” There’s also pineapple liqueur, island cocktails, beer cocktails and island antics, when Zane goes three sheets to Tahiti.",http://www.hulu.com/watch/108373,-149.434715,-17.643761
4,16,"Whistler, Canada",11/23/2009,24,Canada,"Zane does “beer tosses” and “Jager-bombs” with an equally outrageous bar owner, and explores the drinking games of the international transplants who work the mountain by day, and the bars by night.",http://www.hulu.com/watch/108841,-122.957302,50.116251
4,17,Panama,11/30/2009,25,Panama,"Zane does happy hour with locals shooting off fireworks, downing shots and local beers. He meets a farmer who makes his own corn brew then hits the city where he finds his Panamanian counterparts in the form of a popular partying Panamanian TV cast.",http://www.hulu.com/watch/108842,-80.066622,8.829
4,18,Amsterdam,12/7/2009,23,Netherlands,Zane visits the Hemp Hotel and red light district. It gets crazy at a sailor bar with a bartender pouring local drinks generously. It definitely could cause a serious hangover. But the local smoke filled coffee shop has just what the doctor ordered….,http://www.hulu.com/watch/108843,4.894518,52.37317
null,null,New Years Eve Pub Crawl: New York,12/31/2007,48,United States,null,"http://www.hulu.com/watch/116822#i1,p0,d1",-73.892859,40.708233
null,null,New Years Eve Pub Crawl: London,12/20/2009,45,England,null,"http://www.hulu.com/watch/113718#i1,p0,d1",-0.127348,51.505889
